Region,Kommune,Institutionsnavn,Baseline,Resultat 2018,Difference,Præmie (mio. kr.),Institutionsnummer,over,under,Elevtal,ForbedretElev,Bonus,Korrigeret Baseline
Hovedstaden,Albertslund,Herstedlund Skole,0.45649999999999996,0.36840000000000006,0.0880999999999999,13,280106,24,14,38,3.3477999999999963,TRUE,0.43441326855843193
Hovedstaden,Albertslund,Herstedvester Skole,0.431,0.3721,0.05890000000000001,14,165020,54,32,86,5.0654,TRUE,0.421814206598586
Hovedstaden,Bornholm,Aavangsskolen,0.3993,0.2985,0.1008,14,400020,47,20,67,6.7536000000000005,TRUE,0.3894028683619059
Hovedstaden,Gladsaxe,Mørkhøj Skole,0.45630000000000004,0.2353,0.22100000000000003,13,159008,13,4,17,3.7570000000000006,TRUE,0.41207355404021606
Hovedstaden,Gribskov,Gribskolen,0.3839,0.26,0.12390000000000001,14,280271,37,13,50,6.195,TRUE,0.37200025380589274
Hovedstaden,Halsnæs,Arresø Skole,0.4266,0.3014,0.12519999999999998,14,211009,51,22,73,9.139599999999998,TRUE,0.4160855601054904
Hovedstaden,Halsnæs,"Frederiksværk skole, Enghave",0.3972,0.2051,0.1921,13,280197,31,8,39,7.491899999999999,TRUE,0.3810369160808008
Hovedstaden,Helsingør,Skolen ved Rønnebær Allé,0.3483,0.25,0.0983,15,217010,108,36,144,14.1552,TRUE,0.3449046883943117
Hovedstaden,Herlev,Herlev byskole,0.3552,0.22949999999999998,0.12570000000000003,14,163004,47,14,61,7.667700000000002,TRUE,0.3470473435176801
Hovedstaden,Hvidovre,Avedøre Skole,0.4147,0.35710000000000003,0.057599999999999985,13,167009,27,15,42,2.419199999999999,TRUE,0.3981010513106573
Hovedstaden,Høje-Taastrup,Borgerskolen,0.3907,0.22030000000000002,0.17039999999999997,14,169007,46,13,59,10.053599999999998,TRUE,0.3800794510606834
Hovedstaden,Høje-Taastrup,Charlotteskolen,0.37329999999999997,0.2571,0.11619999999999997,13,169013,26,9,35,4.066999999999999,TRUE,0.3578796089121514
Hovedstaden,Høje-Taastrup,Gadehaveskolen,0.5989,0.37929999999999997,0.21960000000000002,13,169011,18,11,29,6.3684,TRUE,0.5538388503258337
Midtjylland,Horsens,Dagnæsskolen,0.35600000000000004,0.2,0.15600000000000003,13,615002,36,9,45,7.020000000000001,TRUE,0.3451165718989482
Midtjylland,Norddjurs,Auning Skole,0.319,0.2588,0.06020000000000003,14,747001,63,22,85,5.117000000000003,TRUE,0.3146416052575426
Midtjylland,Norddjurs,Ørum Skole,0.38170000000000004,0.18420000000000003,0.1975,13,725006,31,7,38,7.505000000000001,TRUE,0.36659883943297444
Midtjylland,Norddjurs,Åboulevarden,0.32909999999999995,0.22390000000000002,0.10519999999999993,14,707006,52,15,67,7.048399999999996,TRUE,0.3230778189530615
Midtjylland,Randers,Grønhøjskolen,0.5227,0.3214,0.20130000000000003,13,723001,19,9,28,5.636400000000001,TRUE,0.4855730435055245
Midtjylland,"Ringkøbing-Skjern",Amagerskolen,0.4413,0.35710000000000003,0.0842,13,669008,18,10,28,2.3575999999999997,TRUE,0.4141569690379008
Midtjylland,Silkeborg,Thorning Skole,0.3,0.22579999999999997,0.07420000000000002,13,771007,24,7,31,2.3002000000000007,TRUE,0.29103089730012427
Midtjylland,Skive,Roslev Skole,0.3014,0.16670000000000001,0.1347,13,777004,40,8,48,6.465599999999999,TRUE,0.29526237864332205
Midtjylland,Syddjurs,Kolind Centralskole,0.3343,0.21050000000000002,0.12379999999999997,13,721002,30,8,38,4.704399999999999,TRUE,0.32362552471978345
Midtjylland,Syddjurs,Marienhoffskolen,0.3722,0.24,0.13219999999999998,13,721004,19,6,25,3.3049999999999997,TRUE,0.35159540403268413
Midtjylland,Aarhus,Bakkegårdsskolen,0.3898,0.23079999999999998,0.159,13,751002,30,9,39,6.2010000000000005,TRUE,0.3743118981406319
Midtjylland,Aarhus,Skovvangskolen,0.3077,0.24,0.06769999999999998,14,751038,38,12,50,3.384999999999999,TRUE,0.301332655636222
Midtjylland,Aarhus,Søndervangskolen,0.467,0.3333,0.13370000000000004,13,751044,16,8,24,3.208800000000001,TRUE,0.43236363562079366
Midtjylland,Aarhus,Åby Skole,0.2832,0.1875,0.09570000000000001,14,751054,52,12,64,6.1248000000000005,TRUE,0.2795573394333065
Nordjylland,Frederikshavn,"Distrikt Nord, Skagen skoleafdeling",0.321,0.1905,0.1305,13,280315,34,8,42,5.481,TRUE,0.31238934865113704
Nordjylland,Hjørring,Hirtshals undervisningssted,0.4765,0.3667,0.10979999999999995,14,819002,38,22,60,6.587999999999997,TRUE,0.4607908692672437
Nordjylland,Morsø,Dueholmskolen,0.321,0.2426,0.0784,15,773001,128,41,169,13.2496,TRUE,0.3187135924656964
